Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
113,Kauã Elias,br BRA,"MF,FW",Fluminense,18-050,2006,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
114,Rafael Elias,br BRA,FW,Cruzeiro,25-035,1999,1.1,1,4,2,50.0,3.50,1.75,0.25,0.50,9.6,0,0,0,0.6,0.6,0.14,+0.4,+0.4,Matches
115,Eliédson,br BRA,MF,Criciúma,21-061,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
116,Rodrigo Ely,br BRA,DF,Grêmio,30-196,1993,3.0,0,1,0,0.0,0.33,0.00,0.00,,8.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
117,Alan Empereur,br BRA,DF,Cuiabá,30-068,1994,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
118,Endrick,br BRA,"FW,MF",Palmeiras,17-301,2006,5.0,0,13,2,15.4,2.58,0.40,0.00,0.00,22.8,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
119,Erick,br BRA,MF,Ath Paranaense,26-185,1997,5.9,1,9,1,11.1,1.52,0.17,0.11,1.00,15.3,0,0,0,1.4,1.4,0.16,-0.4,-0.4,Matches
120,Erick,br BRA,"DF,MF",São Paulo,26-159,1997,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
121,Erick,br BRA,FW,Juventude,27-135,1997,3.1,1,3,2,66.7,0.98,0.65,0.33,0.50,18.7,0,0,0,0.1,0.1,0.05,+0.9,+0.9,Matches
122,Lucas Esquivel,ar ARG,DF,Ath Paranaense,22-216,2001,5.7,0,2,0,0.0,0.35,0.00,0.00,,31.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
123,Estevão,br BRA,"FW,DF",Palmeiras,18-023,2006,2.8,1,9,2,22.2,3.20,0.71,0.00,0.00,22.4,1,1,1,1.3,0.5,0.06,-0.3,-0.5,Matches
124,Lucas Esteves,br BRA,DF,Vitória,23-328,2000,3.4,0,3,1,33.3,0.87,0.29,0.00,0.00,26.4,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
125,Oscar Estupiñan,co COL,FW,Bahia,27-140,1996,0.6,0,1,0,0.0,1.67,0.00,0.00,,13.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
126,Lucas Evangelista,br BRA,MF,Red Bull Bragantino,29-011,1995,0.8,0,2,1,50.0,2.47,1.23,0.00,0.00,18.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
127,Éverson,br BRA,GK,Atlético Mineiro,33-300,1990,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
128,Everton,br BRA,FW,Grêmio,27-061,1997,0.4,0,1,0,0.0,2.37,0.00,0.00,,28.5,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches
129,Bruno Fabiano Alves,br BRA,DF,Cuiabá,33-031,1991,2.2,0,3,0,0.0,1.35,0.00,0.00,,16.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
130,Fabinho,br BRA,MF,Palmeiras,22-038,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
131,Fábio,br BRA,GK,Fluminense,43-230,1980,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
132,Fábio,br BRA,DF,Grêmio,33-313,1990,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
133,Fagner,br BRA,"DF,MF",Corinthians,34-341,1989,4.3,0,2,1,50.0,0.47,0.23,0.00,0.00,29.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
134,Rodrigo Fagundes,br BRA,DF,Criciúma,37-068,1987,3.0,0,1,0,0.0,0.33,0.00,0.00,,6.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
135,Luiz Felipe,br BRA,"DF,MF",Atl Goianiense,30-251,1993,2.1,0,2,1,50.0,0.97,0.48,0.00,0.00,9.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
136,Marcos Felipe,br BRA,GK,Bahia,28-034,1996,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
137,Lucas Fernandes,br BRA,MF,Cuiabá,26-240,1997,1.5,0,3,1,33.3,1.96,0.65,0.00,0.00,30.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
138,Matheus Fernandes,br BRA,MF,Red Bull Bragantino,25-322,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
139,Nathan Fernandes,br BRA,"FW,MF",Grêmio,19-091,2005,1.3,0,2,1,50.0,1.57,0.78,0.00,0.00,15.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
140,Gatito Fernández,py PAR,GK,Botafogo (RJ),36-049,1988,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
141,Fernandinho,br BRA,MF,Ath Paranaense,39-013,1985,5.7,0,5,4,80.0,0.88,0.70,0.00,0.00,23.3,1,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
142,Fernando,br BRA,DF,Ath Paranaense,24-246,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
143,Fernando,br BRA,"MF,DF",Internacional,36-297,1987,1.1,1,1,1,100.0,0.89,0.89,1.00,1.00,7.0,0,0,0,0.1,0.1,0.06,+0.9,+0.9,Matches
144,Luiz Fernando,br BRA,"FW,MF",Atl Goianiense,27-214,1996,4.9,1,6,3,50.0,1.22,0.61,0.17,0.33,19.7,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
145,Nahuel Ferraresi,ve VEN,DF,São Paulo,25-180,1998,1.8,1,2,1,50.0,1.14,0.57,0.50,1.00,16.0,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches
