Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_2,Att_2,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
368,Kaique Rocha,br BRA,DF,Ath Paranaense,23-079,2001,6.0,11,9,7,4,0,9,11,81.8,2,6,2,4,7,18,33,0,Matches
369,Marcos Rocha,br BRA,DF,Palmeiras,35-158,1988,2.2,4,1,2,2,0,0,0,,0,1,1,0,2,6,4,0,Matches
370,Sergio Rochet,uy URU,GK,Internacional,31-055,1993,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,Matches
371,Rodrigo,br BRA,MF,São Paulo,20-062,2004,0.6,4,2,1,2,1,2,4,50.0,2,2,0,2,0,4,3,0,Matches
372,Emiliano Rodríguez,uy URU,FW,Atl Goianiense,20-306,2003,3.1,1,0,0,1,0,0,1,0.0,1,2,0,2,1,2,2,0,Matches
373,James Rodríguez,co COL,MF,São Paulo,32-310,1991,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
374,Robert Rojas,py PAR,DF,Vasco da Gama,28-017,1996,0.0,3,2,2,1,0,2,2,100.0,0,0,0,0,0,3,1,0,Matches
375,Guilherme Romão,br BRA,DF,Atl Goianiense,26-223,1997,5.0,5,1,3,2,0,2,3,66.7,1,3,1,2,4,9,25,0,Matches
376,Ángel Romero,py PAR,FW,Corinthians,31-318,1992,4.5,3,3,1,2,0,1,5,20.0,4,2,0,2,0,3,4,0,Matches
377,Lucas Romero,ar ARG,MF,Cruzeiro,30-029,1994,3.9,16,14,7,6,3,9,12,75.0,3,4,0,4,4,20,3,0,Matches
378,Óscar Romero,py PAR,"FW,MF",Botafogo (RJ),31-318,1992,1.5,6,5,4,1,1,4,4,100.0,0,3,0,3,2,8,1,0,Matches
379,Rômulo,br BRA,DF,Atlético Mineiro,20-107,2004,0.5,2,1,0,1,1,2,2,100.0,0,0,0,0,3,5,2,0,Matches
380,Romulo,br BRA,MF,Internacional,24-077,2000,0.9,1,1,1,0,0,0,1,0.0,1,2,2,0,4,5,4,0,Matches
381,Romulo,br BRA,MF,Palmeiras,22-223,2001,0.6,3,2,3,0,0,1,3,33.3,2,1,0,1,0,3,0,0,Matches
382,Ronald,br BRA,MF,Grêmio,21-096,2003,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
383,Ronaldo,br BRA,GK,Atl Goianiense,27-269,1996,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
384,Budiga Roni,br BRA,MF,Atl Goianiense,25-032,1999,1.5,3,3,3,0,0,2,5,40.0,3,3,3,0,2,5,5,0,Matches
385,Rony,br BRA,FW,Palmeiras,29-006,1995,3.5,4,4,0,3,1,0,2,0.0,2,1,0,1,0,4,3,0,Matches
386,Matheus Rossetto,br BRA,MF,Fortaleza,27-349,1996,1.0,1,1,0,1,0,0,1,0.0,1,2,0,2,0,1,1,0,Matches
387,Rossi,br BRA,FW,Vasco da Gama,31-025,1993,2.4,2,2,1,1,0,2,2,100.0,0,4,1,3,1,3,3,0,Matches
388,Agustín Rossi,ar ARG,GK,Flamengo,28-270,1995,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
389,Ruan,br BRA,"MF,FW",Juventude,19-014,2005,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
390,Rubens,br BRA,DF,Atlético Mineiro,22-331,2001,0.1,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
391,Alan Ruschel,br BRA,DF,Juventude,34-268,1989,1.0,2,0,1,1,0,1,3,33.3,2,2,0,2,0,2,0,0,Matches
392,Rodrigo Sam,br BRA,DF,Juventude,28-298,1995,1.7,2,1,1,1,0,2,2,100.0,0,3,2,1,2,4,6,0,Matches
393,Alex Santana,br BRA,"MF,FW",Ath Paranaense,29-004,1995,1.1,1,0,0,0,1,1,5,20.0,4,1,0,1,0,1,0,0,Matches
394,Ademir Santos,br BRA,"FW,MF",Bahia,29-091,1995,2.0,4,2,0,0,4,0,2,0.0,2,1,0,1,2,6,1,0,Matches
395,Allyson Aires dos Santos,br BRA,DF,Cuiabá,33-207,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,7,0,Matches
396,Eduardo Santos,br BRA,DF,Red Bull Bragantino,26-171,1997,2.5,6,5,3,3,0,4,5,80.0,1,4,2,2,1,7,5,0,Matches
397,Juan Santos,br BRA,FW,São Paulo,22-072,2002,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
398,Júnior Santos,br BRA,"FW,MF",Botafogo (RJ),29-219,1994,4.8,6,3,3,1,2,4,5,80.0,1,3,1,2,0,6,2,0,Matches
399,Renzo Saravia,ar ARG,DF,Atlético Mineiro,30-336,1993,5.0,19,12,8,8,3,8,13,61.5,5,6,2,4,5,24,7,0,Matches
400,Eduardo Sasha,br BRA,FW,Red Bull Bragantino,32-083,1992,4.2,2,2,0,1,1,1,4,25.0,3,2,0,2,2,4,2,0,Matches
401,Lucas Sasha,br BRA,MF,Fortaleza,34-077,1990,1.1,6,4,4,2,0,3,6,50.0,3,5,0,5,3,9,1,0,Matches
402,Jefferson Savarino,ve VEN,"MF,FW",Botafogo (RJ),27-188,1996,4.0,3,1,2,1,0,3,5,60.0,2,3,1,2,0,3,3,0,Matches
403,Gustavo Scarpa,br BRA,"MF,FW",Atlético Mineiro,30-133,1994,3.5,3,1,1,1,1,2,2,100.0,0,3,2,1,1,4,2,0,Matches
404,Cleiton Schwengber,br BRA,GK,Red Bull Bragantino,26-272,1997,4.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,Matches
405,Juan Sforza,ar ARG,MF,Vasco da Gama,22-093,2002,4.6,8,4,2,5,1,6,16,37.5,10,5,2,3,3,11,6,0,Matches
406,Shaylon,br BRA,"MF,FW",Atl Goianiense,27-020,1997,4.8,3,1,1,2,0,0,7,0.0,7,5,0,5,4,7,1,0,Matches
407,André Silva,br BRA,"MF,FW",São Paulo,26-349,1997,3.1,1,0,0,1,0,1,5,20.0,4,7,1,6,3,4,1,0,Matches
408,Luan Silva,br BRA,MF,Vitória,25-003,1999,1.5,1,0,0,1,0,1,3,33.3,2,0,0,0,1,2,2,0,Matches
409,Lucas Silva,br BRA,MF,Cruzeiro,31-091,1993,4.2,3,1,1,2,0,1,3,33.3,2,6,2,4,0,3,5,0,Matches
410,Rafael Silva,br BRA,FW,Cruzeiro,32-043,1992,3.9,4,3,1,3,0,3,3,100.0,0,2,0,2,1,5,2,0,Matches
411,Everton Soares,br BRA,FW,Flamengo,28-056,1996,1.6,2,1,0,0,2,0,3,0.0,3,3,0,3,1,3,1,0,Matches
412,Tiquinho Soares,br BRA,FW,Botafogo (RJ),33-121,1991,2.2,1,1,0,0,1,1,2,50.0,1,2,0,2,0,1,4,0,Matches
413,Fernando Sobral,br BRA,MF,Cuiabá,29-152,1994,3.2,6,6,1,2,3,6,10,60.0,4,7,1,6,2,8,4,0,Matches
414,Yeferson Soteldo,ve VEN,FW,Grêmio,26-322,1997,3.0,5,3,3,2,0,5,7,71.4,2,2,0,2,0,5,0,1,Matches
415,Igor Vinícius de Souza,br BRA,DF,São Paulo,27-046,1997,5.4,11,7,7,3,1,4,7,57.1,3,3,0,3,2,13,3,0,Matches
416,Everaldo Stum,br BRA,FW,Bahia,32-317,1991,2.8,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,5,0,Matches
417,Damián Suárez,uy URU,DF,Botafogo (RJ),36-020,1988,2.6,3,3,1,2,0,0,4,0.0,4,4,1,3,2,5,3,0,Matches
418,Talisson,br BRA,FW,Red Bull Bragantino,21-362,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
419,Tchê Tchê,br BRA,MF,Botafogo (RJ),31-261,1992,3.1,3,3,1,2,0,2,4,50.0,2,1,0,1,2,5,1,0,Matches
420,David Terans,uy URU,"MF,FW",Fluminense,29-280,1994,0.6,3,3,1,2,0,2,2,100.0,0,1,0,1,0,3,0,0,Matches
421,Thaciano,br BRA,FW,Bahia,29-005,1995,5.2,3,3,1,2,0,0,2,0.0,2,3,0,3,2,5,4,0,Matches
422,Thiaguinho,br BRA,MF,Juventude,27-036,1997,0.5,2,2,0,2,0,0,3,0.0,3,0,0,0,0,2,1,0,Matches
423,Guilherme Tinga,br BRA,DF,Fortaleza,30-259,1993,4.1,5,4,2,3,0,3,8,37.5,5,3,0,3,8,13,15,0,Matches
424,Titi,br BRA,DF,Fortaleza,36-066,1988,5.0,5,2,5,0,0,2,9,22.2,7,5,4,1,3,8,15,1,Matches
425,Félix Torres Caicedo,ec ECU,DF,Corinthians,27-127,1997,6.0,5,1,4,1,0,3,7,42.9,4,7,3,4,14,19,26,0,Matches
426,Miguel Trauco,pe PER,"DF,MF",Criciúma,31-266,1992,1.1,2,1,2,0,0,0,1,0.0,1,2,0,2,0,2,5,0,Matches
427,Bruno Tubarão,br BRA,DF,Atl Goianiense,29-073,1995,4.0,13,8,6,6,1,5,7,71.4,2,3,0,3,3,16,9,0,Matches
428,Bruno Uvini,br BRA,DF,Vitória,32-349,1991,3.0,1,1,0,1,0,1,1,100.0,0,3,2,1,5,6,7,0,Matches
429,Vanderlan,br BRA,DF,Palmeiras,21-253,2002,1.2,3,2,1,2,0,2,3,66.7,1,1,0,1,1,4,3,0,Matches
430,Guillermo Varela,uy URU,DF,Flamengo,31-054,1993,3.7,3,3,2,0,1,1,2,50.0,1,3,1,2,5,8,7,0,Matches
431,Eduardo Vargas,cl CHI,FW,Atlético Mineiro,34-179,1989,1.5,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,3,0,Matches
432,Pablo Vegetti,ar ARG,FW,Vasco da Gama,35-215,1988,5.8,1,1,0,1,0,1,5,20.0,4,1,0,1,0,1,7,0,Matches
433,Raphael Veiga,br BRA,MF,Palmeiras,28-333,1995,4.4,7,3,0,7,0,1,5,20.0,4,4,1,3,1,8,1,0,Matches
434,Fausto Vera,ar ARG,MF,Corinthians,24-052,2000,2.1,1,1,0,1,0,1,4,25.0,3,2,1,1,2,3,0,0,Matches
435,Gabriel Veron,br BRA,"FW,MF",Cruzeiro,21-257,2002,0.9,1,0,0,0,1,0,1,0.0,1,4,0,4,1,2,0,0,Matches
436,João Victor,br BRA,DF,Vasco da Gama,25-305,1998,2.4,9,8,7,1,1,6,7,85.7,1,4,1,3,2,11,11,0,Matches
437,Felipe Vieira,,DF,Fluminense,,,1.5,4,2,2,1,1,0,0,,0,1,1,0,2,6,7,0,Matches
438,Mathías Villasanti,py PAR,MF,Grêmio,27-114,1997,4.0,8,6,4,4,0,2,10,20.0,8,5,0,5,7,15,6,1,Matches
439,Matías Viña,uy URU,DF,Flamengo,26-190,1997,1.1,1,1,1,0,0,1,1,100.0,0,2,0,2,2,3,4,0,Matches
440,Alix Vinicius,br BRA,DF,Atl Goianiense,24-193,1999,3.5,4,3,3,1,0,3,3,100.0,0,8,7,1,1,5,31,0,Matches
441,Mateus Vital,br BRA,MF,Cruzeiro,26-095,1998,0.8,3,2,2,1,0,1,1,100.0,0,1,0,1,0,3,0,0,Matches
442,Vitão,br BRA,DF,Internacional,24-105,2000,4.0,3,1,3,0,0,3,5,60.0,2,7,4,3,4,7,12,0,Matches
443,Vitinho,br BRA,"FW,MF",Red Bull Bragantino,25-046,1999,4.0,8,6,6,2,0,6,8,75.0,2,7,0,7,2,10,6,0,Matches
444,Rayan Vitor,br BRA,"FW,MF",Vasco da Gama,17-288,2006,1.9,3,2,1,2,0,1,3,33.3,2,3,0,3,2,5,2,0,Matches
445,Felipe Vizeu,br BRA,FW,Criciúma,27-066,1997,0.3,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
446,Wagner,br BRA,DF,Vitória,24-299,1999,3.1,4,2,4,0,0,2,4,50.0,2,8,5,3,3,7,15,0,Matches
447,Walter,br BRA,GK,Cuiabá,36-181,1987,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
448,Wanderson,br BRA,"FW,MF",Internacional,29-223,1994,2.0,2,2,0,0,2,0,2,0.0,2,2,0,2,1,3,0,0,Matches
449,Welington,br BRA,DF,São Paulo,23-088,2001,2.6,9,8,3,6,0,6,6,100.0,0,1,1,0,5,14,6,0,Matches
450,José Welison,br BRA,MF,Fortaleza,29-067,1995,1.7,8,6,4,4,0,2,4,50.0,2,6,1,5,3,11,1,0,Matches
451,Wesley,br BRA,DF,Flamengo,20-254,2003,1.3,2,2,1,1,0,0,1,0.0,1,3,3,0,2,4,7,0,Matches
452,Wesley,br BRA,"FW,MF",Internacional,25-048,1999,3.4,7,5,3,3,1,4,5,80.0,1,3,0,3,1,8,0,0,Matches
453,Wéverton,br BRA,GK,Palmeiras,36-156,1987,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
454,William,br BRA,DF,Cruzeiro,29-044,1995,5.0,20,9,6,11,3,5,9,55.6,4,8,1,7,7,27,9,0,Matches
455,Willian,br BRA,MF,Vitória,31-001,1993,4.0,4,3,2,2,0,1,5,20.0,4,8,2,6,4,8,6,0,Matches
456,Samuel Xavier,br BRA,DF,Fluminense,33-346,1990,2.5,7,6,4,2,1,3,3,100.0,0,4,1,3,1,8,9,0,Matches
457,Bruno Zapelli,ar ARG,"MF,FW",Ath Paranaense,22-000,2002,2.6,3,0,0,3,0,2,9,22.2,7,3,0,3,0,3,3,0,Matches
458,Federico Zaracho,ar ARG,MF,Atlético Mineiro,26-068,1998,3.1,6,3,1,3,2,0,3,0.0,3,7,0,7,7,13,2,0,Matches
459,Zeca,br BRA,DF,Vitória,30-001,1994,4.3,10,5,5,3,2,3,8,37.5,5,4,3,1,3,13,8,0,Matches
