Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_2,Att_2,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
102,Denilson,br BRA,MF,Cuiabá,23-055,2001,2.5,1,1,0,0,1,1,4,25.0,3,1,0,1,2,3,2,0,Matches
103,Derek,br BRA,FW,Atl Goianiense,26-167,1997,1.5,0,0,0,0,0,0,1,0.0,1,3,0,3,1,1,1,0,Matches
104,Deyverson,br BRA,FW,Cuiabá,33-009,1991,0.8,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
105,Matheus Dias,br BRA,DF,Internacional,27-100,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
106,Diego,br BRA,DF,São Paulo,24-301,1999,5.0,7,3,3,4,0,2,5,40.0,3,5,2,3,11,18,19,0,Matches
107,Dodi,br BRA,MF,Grêmio,28-030,1996,2.0,9,3,2,7,0,5,9,55.6,4,2,0,2,3,12,1,0,Matches
108,Dudu,br BRA,MF,Vitória,24-347,1999,2.3,12,5,6,6,0,2,6,33.3,4,6,0,6,1,13,2,0,Matches
109,Edenílson,br BRA,FW,Grêmio,34-151,1989,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
110,Éder,it ITA,FW,Criciúma,37-184,1986,1.0,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,Matches
111,Carlos Eduardo,br BRA,FW,Atlético Mineiro,19-359,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
112,Carlos Eduardo,br BRA,FW,Botafogo (RJ),34-213,1989,1.0,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0,Matches
113,Kauã Elias,br BRA,"MF,FW",Fluminense,18-050,2006,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Matches
114,Rafael Elias,br BRA,FW,Cruzeiro,25-035,1999,1.1,0,0,0,0,0,0,5,0.0,5,1,1,0,0,0,2,0,Matches
115,Eliédson,br BRA,MF,Criciúma,21-061,2003,0.0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
116,Rodrigo Ely,br BRA,DF,Grêmio,30-196,1993,3.0,5,2,3,2,0,2,3,66.7,1,10,8,2,5,10,17,0,Matches
117,Alan Empereur,br BRA,DF,Cuiabá,30-068,1994,2.9,2,1,2,0,0,2,3,66.7,1,2,2,0,2,4,13,0,Matches
118,Endrick,br BRA,"FW,MF",Palmeiras,17-301,2006,5.0,5,2,1,4,0,3,5,60.0,2,3,0,3,0,5,2,0,Matches
