Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;Matches;Curr_Date
77;Iury de Castilho;br BRA;FW,MF;Vitória;28-255;1995;0.8;1;3;1;33.3;3.65;1.22;0.33;1.00;8.0;0;0;0;1.2;1.2;0.39;-0.2;-0.2;Matches;2024-05-18
78;Murilo Cerqueira;br BRA;DF;Palmeiras;27-052;1997;4.8;0;5;1;20.0;1.03;0.21;0.00;0.00;11.0;0;0;0;0.2;0.2;0.05;-0.2;-0.2;Matches;2024-05-18
79;Reynaldo Cesar Moraes;br BRA;DF;Vitória;27-136;1997;1.9;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
80;Christian;br BRA;FW,MF;Ath Paranaense;23-151;2000;1.2;0;2;1;50.0;1.68;0.84;0.00;0.00;20.1;0;0;0;0.1;0.1;0.05;-0.1;-0.1;Matches;2024-05-18
81;Eliel Chrystian;br BRA;MF;Cuiabá;21-113;2003;0.5;0;2;0;0.0;4.00;0.00;0.00;;9.8;0;0;0;0.2;0.2;0.11;-0.2;-0.2;Matches;2024-05-18
82;Cicinho;bg BUL;MF;Bahia;35-144;1988;0.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
83;José Cifuentes;ec ECU;MF;Cruzeiro;25-067;1999;0.8;0;2;0;0.0;2.61;0.00;0.00;;28.7;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
84;Claudinho;br BRA;DF;Criciúma;23-237;2000;2.7;0;1;1;100.0;0.37;0.37;0.00;0.00;28.1;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
85;Clayson;br BRA;MF;Cuiabá;29-060;1995;2.0;0;2;0;0.0;1.01;0.00;0.00;;20.1;0;0;0;0.1;0.1;0.04;-0.1;-0.1;Matches;2024-05-18
86;Clayton;br BRA;FW;Vasco da Gama;25-128;1999;0.6;0;7;2;28.6;12.12;3.46;0.00;0.00;15.3;0;0;0;0.7;0.7;0.10;-0.7;-0.7;Matches;2024-05-18
87;Mateus Cocão;br BRA;MF;Vasco da Gama;22-061;2002;3.2;1;6;3;50.0;1.90;0.95;0.17;0.33;17.7;0;0;0;0.4;0.4;0.06;+0.6;+0.6;Matches;2024-05-18
88;Igor Coronado;br BRA;MF,FW;Corinthians;31-274;1992;2.0;0;4;0;0.0;2.02;0.00;0.00;;26.4;0;0;0;0.1;0.1;0.02;-0.1;-0.1;Matches;2024-05-18
89;Diego Costa;es ESP;FW;Grêmio;35-224;1988;1.3;0;2;1;50.0;1.55;0.78;0.00;0.00;14.7;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matches;2024-05-18
90;Douglas Costa;br BRA;FW;Fluminense;33-247;1990;1.8;0;2;2;100.0;1.10;1.10;0.00;0.00;29.7;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matches;2024-05-18
91;Franco Cristaldo;ar ARG;MF;Grêmio;27-277;1996;3.1;2;4;2;50.0;1.30;0.65;0.50;1.00;20.6;1;0;0;0.4;0.4;0.10;+1.6;+1.6;Matches;2024-05-18
92;Alejo Cruz;uy URU;MF;Atl Goianiense;23-260;2000;1.7;0;1;0;0.0;0.59;0.00;0.00;;10.3;0;0;0;0.2;0.2;0.17;-0.2;-0.2;Matches;2024-05-18
93;Tomás Cuello;ar ARG;FW,MF;Ath Paranaense;24-074;2000;3.8;0;11;3;27.3;2.89;0.79;0.00;0.00;25.1;0;0;0;0.4;0.4;0.03;-0.4;-0.4;Matches;2024-05-18
94;Víctor Cuesta;ar ARG;DF;Bahia;35-181;1988;2.7;0;1;1;100.0;0.38;0.38;0.00;0.00;7.2;0;0;0;0.2;0.2;0.18;-0.2;-0.2;Matches;2024-05-18
95;Cuiabano;br BRA;DF;Grêmio;21-092;2003;1.8;0;1;0;0.0;0.55;0.00;0.00;;20.8;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
