Rk;Player;Nation;Pos;Squad;Age;Born;MP;Min;Mn/MP;Min%;90s;Starts;Mn/Start;Compl;Subs;Mn/Sub;unSub;PPM;onG;onGA;+/-;+/-90;On-Off;onxG;onxGA;xG+/-;xG+/-90;On-Off_2;Matches;Curr_Date
332;Léo Mana;br BRA;DF;Corinthians;20-043;2004;1;9;9;1.7;0.1;0;;0;1;9;0;0.00;0;0;0;0.00;+0.34;0.0;0.0;0.0;+0.20;-0.09;Matches;2024-05-18
333;Luis Mandaca;br BRA;MF,FW;Juventude;22-230;2001;3;97;32;26.9;1.1;1;82;0;2;8;1;1.33;0;5;-5;-4.64;-5.67;1.1;3.2;-2.1;-1.96;-1.93;Matches;2024-05-18
334;Manoel;br BRA;DF;Fluminense;34-083;1990;5;381;76;70.6;4.2;5;76;3;0;;0;0.80;6;9;-3;-0.71;-0.14;4.1;6.5;-2.4;-0.56;-0.67;Matches;2024-05-18
335;Fernando Marçal;br BRA;DF;Botafogo (RJ);35-090;1989;1;45;45;8.3;0.5;1;45;0;0;;0;0.00;1;1;0;0.00;-0.91;0.9;0.5;+0.4;+0.82;+0.71;Matches;2024-05-18
336;Dé Marcão;br BRA;DF;Atl Goianiense;23-004;2001;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches;2024-05-18
337;Marcelinho;br BRA;MF,FW;Juventude;21-160;2002;4;157;39;43.6;1.7;1;61;0;3;32;0;1.25;3;3;0;0.00;+0.89;0.9;2.3;-1.5;-0.83;-0.50;Matches;2024-05-18
338;Marcelo;br BRA;DF;Fluminense;36-007;1988;5;360;72;66.7;4.0;4;89;3;1;6;0;1.00;6;8;-2;-0.50;+0.50;5.4;5.4;0.0;0.00;+1.08;Matches;2024-05-18
339;João Marcelo;br BRA;DF;Cruzeiro;23-341;2000;5;361;72;80.2;4.0;4;90;4;1;1;0;2.00;5;5;0;0.00;-1.01;3.4;3.5;-0.1;-0.02;+0.42;Matches;2024-05-18
340;Agustín Marchesín;ar ARG;GK;Grêmio;36-064;1988;3;270;90;75.0;3.0;3;90;3;0;;0;2.00;4;2;+2;+0.67;+1.67;3.0;2.4;+0.6;+0.19;+1.23;Matches;2024-05-18
341;Zé Marcos;br BRA;DF;Juventude;26-108;1998;3;258;86;71.7;2.9;3;86;2;0;;0;1.67;4;2;+2;+0.70;+4.23;3.2;2.6;+0.6;+0.22;+2.74;Matches;2024-05-18
342;Erick Marcus;br BRA;MF,FW;Vasco da Gama;20-079;2004;2;63;32;11.7;0.7;0;;0;2;32;1;0.00;1;1;0;0.00;+0.94;1.8;1.1;+0.7;+0.94;+1.23;Matches;2024-05-18
343;Mariano;br BRA;DF,MF;Atlético Mineiro;37-331;1986;0;;;;;0;;0;0;;5;;;;;;;;;;;;Matches;2024-05-18
344;Marinho;br BRA;FW,DF;Fortaleza;33-356;1990;5;243;49;54.0;2.7;3;68;0;2;20;0;1.40;2;3;-1;-0.37;-1.24;2.3;1.5;+0.8;+0.28;+0.57;Matches;2024-05-18
345;Marlon;br BRA;DF;Cruzeiro;26-365;1997;5;450;90;100.0;5.0;5;90;5;0;;0;2.00;8;7;+1;+0.20;;5.0;5.5;-0.5;-0.10;;Matches;2024-05-18
346;Marquinhos;br BRA;DF,FW;Fluminense;21-042;2003;6;537;90;99.4;6.0;6;90;5;0;;0;0.83;8;12;-4;-0.67;-0.67;6.0;7.9;-1.9;-0.31;+8.78;Matches;2024-05-18
347;Juan Martín Lucero;ar ARG;FW;Fortaleza;32-171;1991;4;214;54;47.6;2.4;2;81;0;2;27;1;1.50;3;0;+3;+1.26;+2.02;1.3;2.1;-0.8;-0.33;-0.68;Matches;2024-05-18
348;Martinelli;br BRA;MF,DF;Fluminense;23-009;2001;6;495;83;91.7;5.5;6;83;5;0;;0;0.83;8;11;-3;-0.55;+1.45;6.0;7.8;-1.8;-0.33;+0.41;Matches;2024-05-18
349;Adriano Martins;br BRA;DF;Atl Goianiense;27-048;1997;3;255;85;56.7;2.8;3;85;2;0;;0;0.33;2;3;-1;-0.35;+1.95;3.4;2.8;+0.7;+0.23;+1.17;Matches;2024-05-18
350;Gustavo Martins Santos;br BRA;DF;Grêmio;21-282;2002;3;257;86;71.4;2.9;2;90;2;1;77;0;2.00;4;2;+2;+0.70;+1.57;3.0;2.1;+0.9;+0.30;+1.46;Matches;2024-05-18
351;Gonzalo Mastriani;uy URU;FW;Ath Paranaense;31-021;1993;5;147;29;27.2;1.6;1;90;1;4;14;1;2.00;1;2;-1;-0.61;-2.22;0.8;2.5;-1.7;-1.06;-1.67;Matches;2024-05-18
352;Fellipe Mateus;br BRA;MF;Criciúma;33-097;1991;3;262;87;97.0;2.9;3;87;1;0;;0;1.67;6;2;+4;+1.37;+1.37;2.4;3.4;-1.0;-0.35;-0.28;Matches;2024-05-18
353;Matheusinho;br BRA;FW,MF;Vitória;26-214;1997;5;394;79;87.6;4.4;5;79;2;0;;0;0.20;4;10;-6;-1.37;-1.37;3.6;7.5;-3.9;-0.90;-1.01;Matches;2024-05-18
354;Matheusinho;br BRA;FW,MF;Criciúma;26-098;1998;2;25;13;9.3;0.3;0;;0;2;13;1;1.00;1;0;+1;+3.60;+2.50;0.3;0.5;-0.2;-0.86;-0.58;Matches;2024-05-18
