Rk;Player;Nation;Pos;Squad;Age;Born;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl_2;Att_2;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Matches;Curr_Date
16;Rodrigo Andrade;br BRA;MF,FW;Vitória;26-350;1997;2.6;3;3;1;1;1;2;2;100.0;0;5;2;3;0;3;1;0;Matches;2024-05-18
17;André;br BRA;MF,DF;Fluminense;22-308;2001;3.0;5;2;0;4;1;2;3;66.7;1;4;2;2;5;10;8;0;Matches;2024-05-18
18;Wilker Ángel;ve VEN;DF;Criciúma;31-062;1993;0.8;0;0;0;0;0;0;0;;0;2;1;1;0;0;11;0;Matches;2024-05-18
19;Guilherme Arana;br BRA;DF;Atlético Mineiro;27-035;1997;4.1;9;6;5;3;1;5;9;55.6;4;3;1;2;9;18;6;0;Matches;2024-05-18
20;Luiz Araújo;br BRA;FW,MF;Flamengo;27-352;1996;4.0;8;6;4;3;1;3;5;60.0;2;4;2;2;6;14;2;0;Matches;2024-05-18
21;Michel Araujo;uy URU;DF,MF;São Paulo;27-234;1996;2.7;2;1;1;1;0;0;2;0.0;2;3;0;3;2;4;3;0;Matches;2024-05-18
22;Robert Arboleda;ec ECU;DF;São Paulo;32-210;1991;6.0;6;3;5;1;0;4;8;50.0;4;7;2;5;9;15;25;1;Matches;2024-05-18
23;Lucas Arcanjo;br BRA;GK;Vitória;25-285;1998;5.0;0;0;0;0;0;0;1;0.0;1;0;0;0;0;0;1;0;Matches;2024-05-18
24;Jhon Arias;co COL;FW;Fluminense;26-241;1997;6.0;14;9;4;4;6;5;10;50.0;5;8;0;8;3;17;4;0;Matches;2024-05-18
25;Santiago Arias;co COL;DF;Bahia;32-127;1992;6.0;12;9;6;6;0;5;11;45.5;6;5;3;2;7;19;13;1;Matches;2024-05-18
26;Arthur;br BRA;FW;Cruzeiro;25-321;1998;3.8;3;3;0;0;3;2;3;66.7;1;3;1;2;0;3;1;0;Matches;2024-05-18
27;Arthur;br BRA;FW,MF;Criciúma;31-339;1992;1.0;0;0;0;0;0;0;1;0.0;1;0;0;0;0;0;1;0;Matches;2024-05-18
28;Filipe Augusto;br BRA;MF;Cuiabá;30-281;1993;0.2;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matches;2024-05-18
29;Renato Augusto;br BRA;FW,MF;Fluminense;36-101;1988;0.7;1;0;0;0;1;1;1;100.0;0;0;0;0;1;2;1;0;Matches;2024-05-18
30;Gabriel Baralhas;br BRA;MF;Atl Goianiense;25-222;1998;3.6;7;3;3;4;0;2;9;22.2;7;8;3;5;2;9;6;0;Matches;2024-05-18
31;Danilo Barbosa;br BRA;MF;Botafogo (RJ);28-081;1996;3.5;4;4;3;1;0;2;3;66.7;1;5;2;3;11;15;9;0;Matches;2024-05-18
32;Diogo Barbosa;br BRA;DF;Fluminense;31-276;1992;1.7;3;2;1;2;0;2;3;66.7;1;1;0;1;3;6;1;0;Matches;2024-05-18
33;Gabriel Barbosa;br BRA;FW;Flamengo;27-263;1996;0.5;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matches;2024-05-18
34;Lucas Barbosa;br BRA;MF,FW;Juventude;23-087;2001;3.3;8;5;2;4;2;3;8;37.5;5;14;0;14;4;12;1;0;Matches;2024-05-18
35;Alexander Barboza;ar ARG;DF,FW;Botafogo (RJ);29-064;1995;1.4;0;0;0;0;0;0;0;;0;3;2;1;0;0;8;0;Matches;2024-05-18
36;Mateo Barcia;uy URU;MF;Criciúma;23-090;2001;0.1;1;0;1;0;0;1;2;50.0;1;0;0;0;1;2;0;0;Matches;2024-05-18
37;Álvaro Barreal;ar ARG;MF,FW;Cruzeiro;23-276;2000;2.2;7;4;1;4;2;1;1;100.0;0;4;0;4;0;7;3;0;Matches;2024-05-18
38;Barreto;br BRA;MF;Criciúma;28-161;1995;2.9;5;4;4;1;0;3;10;30.0;7;11;5;6;1;6;5;0;Matches;2024-05-18
39;Gabriel Barros;br BRA;FW,MF;Atl Goianiense;22-207;2001;0.9;2;1;2;0;0;2;5;40.0;3;1;0;1;0;2;0;0;Matches;2024-05-18
40;Bastos;ao ANG;DF;Botafogo (RJ);33-053;1991;5.4;7;5;4;3;0;5;8;62.5;3;5;3;2;4;11;36;0;Matches;2024-05-18
41;Rodrigo Battaglia;ar ARG;DF;Atlético Mineiro;32-312;1991;2.4;4;1;2;1;1;3;3;100.0;0;2;2;0;1;5;6;0;Matches;2024-05-18
42;José Luis Rodríguez Bebanz;uy URU;FW;Vasco da Gama;27-066;1997;0.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matches;2024-05-18
43;Ramiro Benetti;br BRA;MF;Cruzeiro;30-363;1993;2.4;3;2;0;2;1;2;8;25.0;6;5;0;5;1;4;2;0;Matches;2024-05-18
44;Bento;br BRA;GK;Ath Paranaense;24-344;1999;6.0;0;0;0;0;0;0;1;0.0;1;0;0;0;0;0;0;0;Matches;2024-05-18
45;Raul Bicalho;br BRA;DF;Corinthians;25-025;1999;1.0;0;0;0;0;0;0;0;;0;0;0;0;4;4;2;0;Matches;2024-05-18
46;Matheus Bidu;br BRA;DF;Corinthians;25-015;1999;0.2;0;0;0;0;0;0;0;;0;1;0;1;2;2;1;0;Matches;2024-05-18
47;Biel;br BRA;FW,MF;Bahia;23-048;2001;1.6;2;2;1;1;0;0;3;0.0;3;3;0;3;1;3;0;0;Matches;2024-05-18
48;Guilherme Biro;br BRA;MF;Corinthians;20-029;2004;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matches;2024-05-18
49;Damián Bobadilla;py PAR;MF;São Paulo;22-313;2001;2.1;10;6;6;3;1;3;8;37.5;5;1;0;1;1;11;2;0;Matches;2024-05-18
50;Yannick Bolasie;cd COD;FW;Criciúma;34-361;1989;1.9;1;0;0;1;0;0;1;0.0;1;1;1;0;0;1;0;0;Matches;2024-05-18
51;Thiago Borbas;uy URU;FW;Red Bull Bragantino;22-042;2002;2.2;3;2;0;3;0;2;3;66.7;1;3;2;1;0;3;7;0;Matches;2024-05-18
52;Marllon Borges;br BRA;DF;Cuiabá;32-033;1992;4.0;6;4;6;0;0;5;6;83.3;1;5;2;3;5;11;23;0;Matches;2024-05-18
53;Pedro Borges;br BRA;MF;Fortaleza;27-077;1997;2.4;17;12;7;10;0;5;6;83.3;1;3;0;3;4;21;4;0;Matches;2024-05-18
54;Rafael Borré;co COL;FW;Internacional;28-247;1995;4.0;4;4;1;2;1;1;4;25.0;3;2;0;2;0;4;4;0;Matches;2024-05-18
55;Danilo Boza;br BRA;DF;Juventude;26-013;1998;3.0;3;1;2;1;0;0;0;;0;5;3;2;2;5;10;0;Matches;2024-05-18
56;Breno;br BRA;FW;Fortaleza;28-116;1996;2.1;2;0;1;1;0;1;2;50.0;1;2;0;2;0;2;0;0;Matches;2024-05-18
57;Breno;br BRA;MF;Corinthians;19-089;2005;2.9;1;0;0;0;1;0;3;0.0;3;8;1;7;4;5;1;0;Matches;2024-05-18
58;Emanuel Brítez;ar ARG;DF;Fortaleza;32-054;1992;4.0;14;7;13;1;0;9;12;75.0;3;4;4;0;3;17;16;0;Matches;2024-05-18
59;Bruninho;br BRA;FW,MF;Red Bull Bragantino;21-066;2003;0.9;1;0;0;0;1;1;3;33.3;2;0;0;0;0;1;1;0;Matches;2024-05-18
60;Fabrício Bruno;br BRA;DF;Flamengo;28-097;1996;5.0;7;5;5;2;0;4;4;100.0;0;7;6;1;2;9;21;0;Matches;2024-05-18
61;Fabricio Bustos;ar ARG;DF,MF;Internacional;28-021;1996;3.2;11;7;3;6;2;5;6;83.3;1;1;0;1;3;14;6;0;Matches;2024-05-18
62;Rafael Cabral;br BRA;GK;Grêmio;33-365;1990;1.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matches;2024-05-18
63;Cacá;br BRA;DF;Corinthians;25-024;1999;2.8;1;1;1;0;0;1;3;33.3;2;9;7;2;0;1;15;1;Matches;2024-05-18
64;Jonathan Cafu;br BRA;MF,FW;Cuiabá;32-314;1991;1.1;1;1;1;0;0;0;3;0.0;3;1;0;1;2;3;1;0;Matches;2024-05-18
65;Jonathan Calleri;ar ARG;FW;São Paulo;30-239;1993;4.4;2;1;0;2;0;0;3;0.0;3;1;0;1;1;3;6;0;Matches;2024-05-18
66;Patric Calmon PK;br BRA;DF;Vitória;29-319;1994;1.5;2;1;1;1;0;0;1;0.0;1;2;1;1;6;8;3;0;Matches;2024-05-18
67;Camutanga;br BRA;DF;Vitória;30-235;1993;2.0;7;4;6;0;1;3;5;60.0;2;4;4;0;0;7;12;0;Matches;2024-05-18
68;Yerson Candelo;co COL;DF;Criciúma;32-085;1992;0.3;3;1;1;2;0;0;0;;0;0;0;0;1;4;0;0;Matches;2024-05-18
69;Luan Cândido;br BRA;DF;Red Bull Bragantino;23-107;2001;6.0;18;12;9;8;1;7;10;70.0;3;9;7;2;6;24;35;0;Matches;2024-05-18
70;Germán Cano;ar ARG;FW,MF;Fluminense;36-107;1988;4.6;2;1;1;1;0;1;1;100.0;0;1;1;0;1;3;5;1;Matches;2024-05-18
71;Agustín Canobbio;uy URU;FW,MF;Ath Paranaense;25-231;1998;3.3;4;4;0;4;0;0;3;0.0;3;5;0;5;0;4;0;0;Matches;2024-05-18
72;Juninho Capixaba;br BRA;DF,MF;Red Bull Bragantino;26-318;1997;3.8;12;5;5;6;1;6;11;54.5;5;5;0;5;6;18;11;0;Matches;2024-05-18
73;Carlinhos;br BRA;FW,DF;Flamengo;27-097;1997;0.7;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;Matches;2024-05-18
74;Antonio Carlos;br BRA;DF;Fluminense;31-073;1993;1.5;1;1;0;1;0;0;1;0.0;1;5;4;1;1;2;7;1;Matches;2024-05-18
75;Jean Carlos Vicente;br BRA;FW,MF;Juventude;32-094;1992;2.3;3;2;0;3;0;1;3;33.3;2;4;0;4;2;5;0;0;Matches;2024-05-18
76;Cássio;br BRA;GK;Corinthians;36-348;1987;3.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;1;Matches;2024-05-18
77;Iury de Castilho;br BRA;FW,MF;Vitória;28-256;1995;0.8;1;0;1;0;0;0;0;;0;1;0;1;0;1;2;0;Matches;2024-05-18
78;Murilo Cerqueira;br BRA;DF;Palmeiras;27-053;1997;4.8;10;6;4;6;0;3;7;42.9;4;6;3;3;8;18;13;0;Matches;2024-05-18
79;Reynaldo Cesar Moraes;br BRA;DF;Vitória;27-137;1997;1.9;2;2;1;1;0;0;1;0.0;1;5;3;2;0;2;10;0;Matches;2024-05-18
80;Christian;br BRA;FW,MF;Ath Paranaense;23-152;2000;1.2;3;1;1;1;1;1;1;100.0;0;3;1;2;0;3;1;0;Matches;2024-05-18
81;Eliel Chrystian;br BRA;MF;Cuiabá;21-114;2003;0.5;2;1;0;1;1;0;0;;0;0;0;0;0;2;0;0;Matches;2024-05-18
82;Cicinho;bg BUL;MF;Bahia;35-145;1988;0.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matches;2024-05-18
83;José Cifuentes;ec ECU;MF;Cruzeiro;25-068;1999;0.8;3;2;0;2;1;2;3;66.7;1;0;0;0;0;3;3;0;Matches;2024-05-18
84;Claudinho;br BRA;DF;Criciúma;23-238;2000;2.7;7;3;6;0;1;6;12;50.0;6;4;0;4;6;13;10;0;Matches;2024-05-18
85;Clayson;br BRA;MF;Cuiabá;29-061;1995;2.0;1;0;1;0;0;0;3;0.0;3;1;0;1;0;1;0;0;Matches;2024-05-18
86;Clayton;br BRA;FW;Vasco da Gama;25-129;1999;0.6;2;2;1;0;1;1;1;100.0;0;1;1;0;0;2;1;0;Matches;2024-05-18
87;Mateus Cocão;br BRA;MF;Vasco da Gama;22-062;2002;3.2;7;6;3;3;1;1;12;8.3;11;5;0;5;4;11;1;1;Matches;2024-05-18
88;Igor Coronado;br BRA;MF,FW;Corinthians;31-275;1992;2.0;3;2;2;0;1;0;1;0.0;1;6;1;5;3;6;2;0;Matches;2024-05-18
89;Diego Costa;es ESP;FW;Grêmio;35-225;1988;1.3;2;0;0;1;1;1;1;100.0;0;1;1;0;0;2;0;0;Matches;2024-05-18
90;Douglas Costa;br BRA;FW;Fluminense;33-248;1990;1.8;2;2;0;1;1;0;0;;0;4;0;4;2;4;1;0;Matches;2024-05-18
91;Franco Cristaldo;ar ARG;MF;Grêmio;27-278;1996;3.1;1;1;1;0;0;1;6;16.7;5;5;0;5;0;1;2;0;Matches;2024-05-18
92;Alejo Cruz;uy URU;MF;Atl Goianiense;23-261;2000;1.7;2;0;1;1;0;1;2;50.0;1;2;0;2;0;2;3;0;Matches;2024-05-18
93;Tomás Cuello;ar ARG;FW,MF;Ath Paranaense;24-075;2000;3.8;4;3;2;2;0;2;4;50.0;2;7;1;6;7;11;1;0;Matches;2024-05-18
94;Víctor Cuesta;ar ARG;DF;Bahia;35-182;1988;2.7;7;5;1;5;1;4;6;66.7;2;1;0;1;0;7;14;0;Matches;2024-05-18
95;Cuiabano;br BRA;DF;Grêmio;21-093;2003;1.8;3;0;2;1;0;2;2;100.0;0;4;2;2;5;8;5;0;Matches;2024-05-18
96;Cuiabano;br BRA;DF;Botafogo (RJ);21-093;2003;1.5;4;2;2;2;0;2;3;66.7;1;1;0;1;2;6;5;0;Matches;2024-05-18
97;Lucas Cunha;br BRA;DF;Red Bull Bragantino;27-117;1997;0.3;1;1;1;0;0;0;0;;0;2;2;0;0;1;5;0;Matches;2024-05-18
98;Danielzinho;br BRA;MF;Atl Goianiense;28-129;1996;0.2;0;0;0;0;0;0;1;0.0;1;0;0;0;0;0;0;0;Matches;2024-05-18
99;David;br BRA;FW;Vasco da Gama;28-215;1995;5.7;9;7;2;6;1;0;2;0.0;2;3;0;3;3;12;3;0;Matches;2024-05-18
100;Giorgian De Arrascaeta;uy URU;MF;Flamengo;29-353;1994;2.8;1;1;0;1;0;1;6;16.7;5;1;1;0;1;2;0;0;Matches;2024-05-18
101;Nicolás De La Cruz;uy URU;MF;Flamengo;26-353;1997;5.0;14;10;2;9;3;6;10;60.0;4;6;3;3;4;18;0;0;Matches;2024-05-18
102;Denilson;br BRA;MF;Cuiabá;23-057;2001;2.5;1;1;0;0;1;1;4;25.0;3;1;0;1;2;3;2;0;Matches;2024-05-18
103;Derek;br BRA;FW;Atl Goianiense;26-169;1997;1.5;0;0;0;0;0;0;1;0.0;1;3;0;3;1;1;1;0;Matches;2024-05-18
104;Deyverson;br BRA;FW;Cuiabá;33-011;1991;0.8;1;1;1;0;0;1;1;100.0;0;0;0;0;0;1;1;0;Matches;2024-05-18
105;Matheus Dias;br BRA;DF;Internacional;27-102;1997;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matches;2024-05-18
106;Diego;br BRA;DF;São Paulo;24-303;1999;5.0;7;3;3;4;0;2;5;40.0;3;5;2;3;11;18;19;0;Matches;2024-05-18
107;Dodi;br BRA;MF;Grêmio;28-032;1996;2.0;9;3;2;7;0;5;9;55.6;4;2;0;2;3;12;1;0;Matches;2024-05-18
108;Dudu;br BRA;MF;Vitória;24-349;1999;2.3;12;5;6;6;0;2;6;33.3;4;6;0;6;1;13;2;0;Matches;2024-05-18
109;Edenílson;br BRA;FW;Grêmio;34-153;1989;0.5;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matches;2024-05-18
110;Éder;it ITA;FW;Criciúma;37-186;1986;1.0;1;0;0;1;0;1;2;50.0;1;0;0;0;0;1;0;0;Matches;2024-05-18
111;Carlos Eduardo;br BRA;FW;Atlético Mineiro;19-361;2004;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matches;2024-05-18
112;Carlos Eduardo;br BRA;FW;Botafogo (RJ);34-215;1989;1.0;1;1;1;0;0;1;1;100.0;0;1;0;1;0;1;1;0;Matches;2024-05-18
113;Kauã Elias;br BRA;MF,FW;Fluminense;18-052;2006;1.0;0;0;0;0;0;0;1;0.0;1;0;0;0;0;0;2;0;Matches;2024-05-18
114;Rafael Elias;br BRA;FW;Cruzeiro;25-037;1999;1.1;0;0;0;0;0;0;5;0.0;5;1;1;0;0;0;2;0;Matches;2024-05-18
115;Eliédson;br BRA;MF;Criciúma;21-063;2003;0.0;0;0;0;0;0;0;0;;0;1;1;0;0;0;0;0;Matches;2024-05-18
116;Rodrigo Ely;br BRA;DF;Grêmio;30-198;1993;3.0;5;2;3;2;0;2;3;66.7;1;10;8;2;5;10;17;0;Matches;2024-05-18
117;Alan Empereur;br BRA;DF;Cuiabá;30-070;1994;2.9;2;1;2;0;0;2;3;66.7;1;2;2;0;2;4;13;0;Matches;2024-05-18
118;Endrick;br BRA;FW,MF;Palmeiras;17-303;2006;5.0;5;2;1;4;0;3;5;60.0;2;3;0;3;0;5;2;0;Matches;2024-05-18
119;Erick;br BRA;MF;Ath Paranaense;26-187;1997;5.9;9;7;3;5;1;3;7;42.9;4;13;2;11;12;21;10;0;Matches;2024-05-18
120;Erick;br BRA;DF,MF;São Paulo;26-161;1997;1.4;3;3;1;1;1;0;0;;0;2;0;2;1;4;2;0;Matches;2024-05-18
121;Erick;br BRA;FW;Juventude;27-137;1997;3.1;4;3;1;3;0;0;1;0.0;1;3;0;3;0;4;2;0;Matches;2024-05-18
122;Lucas Esquivel;ar ARG;DF;Ath Paranaense;22-218;2001;5.7;14;9;8;6;0;6;11;54.5;5;6;3;3;4;18;15;0;Matches;2024-05-18
123;Estevão;br BRA;FW,DF;Palmeiras;18-025;2006;2.8;4;2;2;1;1;3;7;42.9;4;3;0;3;2;6;1;0;Matches;2024-05-18
124;Lucas Esteves;br BRA;DF;Vitória;23-330;2000;3.4;8;6;7;1;0;3;3;100.0;0;6;3;3;2;10;12;0;Matches;2024-05-18
125;Oscar Estupiñan;co COL;FW;Bahia;27-142;1996;0.6;0;0;0;0;0;0;1;0.0;1;0;0;0;0;0;1;0;Matches;2024-05-18
126;Lucas Evangelista;br BRA;MF;Red Bull Bragantino;29-013;1995;0.8;1;1;1;0;0;0;3;0.0;3;3;1;2;2;3;0;0;Matches;2024-05-18
127;Éverson;br BRA;GK;Atlético Mineiro;33-302;1990;5.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;2;0;Matches;2024-05-18
128;Everton;br BRA;FW;Grêmio;27-063;1997;0.4;1;1;0;1;0;0;0;;0;0;0;0;0;1;0;0;Matches;2024-05-18
129;Bruno Fabiano Alves;br BRA;DF;Cuiabá;33-033;1991;2.2;2;2;1;1;0;2;4;50.0;2;3;2;1;3;5;7;0;Matches;2024-05-18
130;Fabinho;br BRA;MF;Palmeiras;22-040;2002;0.4;1;1;0;1;0;0;0;;0;3;2;1;0;1;0;0;Matches;2024-05-18
131;Fábio;br BRA;GK;Fluminense;43-232;1980;6.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;4;2;Matches;2024-05-18
132;Fábio;br BRA;DF;Grêmio;33-315;1990;2.3;1;1;1;0;0;1;2;50.0;1;1;0;1;1;2;7;0;Matches;2024-05-18
133;Fagner;br BRA;DF,MF;Corinthians;34-343;1989;4.3;7;3;2;3;2;4;9;44.4;5;2;1;1;3;10;6;0;Matches;2024-05-18
134;Rodrigo Fagundes;br BRA;DF;Criciúma;37-070;1987;3.0;4;3;3;1;0;4;4;100.0;0;5;3;2;4;8;23;0;Matches;2024-05-18
135;Luiz Felipe;br BRA;DF,MF;Atl Goianiense;30-253;1993;2.1;0;0;0;0;0;0;0;;0;2;1;1;4;4;5;0;Matches;2024-05-18
136;Marcos Felipe;br BRA;GK;Bahia;28-036;1996;6.0;1;1;1;0;0;1;1;100.0;0;0;0;0;0;1;3;0;Matches;2024-05-18
137;Lucas Fernandes;br BRA;MF;Cuiabá;26-242;1997;1.5;2;2;1;1;0;0;1;0.0;1;2;0;2;1;3;0;0;Matches;2024-05-18
138;Matheus Fernandes;br BRA;MF;Red Bull Bragantino;25-324;1998;0.4;1;1;0;1;0;1;1;100.0;0;2;0;2;1;2;0;0;Matches;2024-05-18
139;Nathan Fernandes;br BRA;FW,MF;Grêmio;19-093;2005;1.3;2;2;0;2;0;0;2;0.0;2;0;0;0;2;4;2;0;Matches;2024-05-18
140;Gatito Fernández;py PAR;GK;Botafogo (RJ);36-051;1988;3.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;3;0;Matches;2024-05-18
141;Fernandinho;br BRA;MF;Ath Paranaense;39-015;1985;5.7;5;5;5;0;0;4;4;100.0;0;2;0;2;4;9;6;0;Matches;2024-05-18
142;Fernando;br BRA;DF;Ath Paranaense;24-248;1999;0.2;2;2;2;0;0;2;2;100.0;0;0;0;0;0;2;1;0;Matches;2024-05-18
143;Fernando;br BRA;MF,DF;Internacional;36-299;1987;1.1;3;3;2;1;0;2;2;100.0;0;2;0;2;1;4;1;0;Matches;2024-05-18
144;Luiz Fernando;br BRA;FW,MF;Atl Goianiense;27-216;1996;4.9;5;4;2;2;1;1;5;20.0;4;7;4;3;4;9;7;0;Matches;2024-05-18
145;Nahuel Ferraresi;ve VEN;DF;São Paulo;25-182;1998;1.8;3;3;2;0;1;2;6;33.3;4;4;1;3;3;6;3;0;Matches;2024-05-18
146;Ferreira;br BRA;MF,FW;São Paulo;26-140;1997;1.2;1;1;0;1;0;0;0;;0;1;0;1;0;1;0;0;Matches;2024-05-18
147;Filipinho;br BRA;MF,FW;Ath Paranaense;22-214;2001;0.6;4;2;0;1;3;2;3;66.7;1;2;0;2;0;4;1;0;Matches;2024-05-18
148;Alan Franco;ec ECU;MF;Atlético Mineiro;25-272;1998;4.0;10;6;4;5;1;4;5;80.0;1;2;0;2;5;15;2;0;Matches;2024-05-18
149;Alan Franco;ar ARG;DF;São Paulo;27-221;1996;3.5;9;6;5;4;0;3;6;50.0;3;2;1;1;1;10;9;1;Matches;2024-05-18
150;Lucas Freitas;br BRA;DF;Juventude;23-120;2001;0.4;1;1;0;1;0;0;0;;0;1;1;0;1;2;2;0;Matches;2024-05-18
151;Marlon Freitas;br BRA;MF;Botafogo (RJ);29-053;1995;3.5;7;6;3;4;0;5;7;71.4;2;10;5;5;5;12;6;0;Matches;2024-05-18
152;Bruno Fuchs;br BRA;DF;Atlético Mineiro;25-048;1999;0.9;2;2;2;0;0;0;0;;0;1;0;1;0;2;1;0;Matches;2024-05-18
153;Gabriel;br BRA;DF;Bahia;23-013;2001;5.0;9;7;4;5;0;4;5;80.0;1;5;4;1;8;17;34;0;Matches;2024-05-18
154;Gabriel;br BRA;GK;Juventude;31-235;1992;4.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;Matches;2024-05-18
155;Marquinhos Gabriel;br BRA;MF;Criciúma;33-303;1990;2.6;2;1;2;0;0;0;0;;0;3;0;3;2;4;1;0;Matches;2024-05-18
156;Zé Gabriel;br BRA;MF;Vasco da Gama;25-119;1999;0.7;2;1;1;1;0;1;1;100.0;0;1;1;0;0;2;1;0;Matches;2024-05-18
157;Pablo Galdames Millán;cl CHI;MF;Vasco da Gama;27-141;1996;4.6;13;9;4;8;1;7;16;43.8;9;9;1;8;4;17;6;0;Matches;2024-05-18
158;Giuliano Galoppo;ar ARG;MF;São Paulo;24-336;1999;1.7;3;3;0;3;0;1;3;33.3;2;2;0;2;4;7;0;0;Matches;2024-05-18
159;Léo Gamalho;br BRA;FW;Vitória;38-110;1986;0.2;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matches;2024-05-18
160;Mateo Gamarra;py PAR;DF;Ath Paranaense;23-212;2000;3.0;4;4;3;1;0;1;3;33.3;2;2;0;2;4;8;17;0;Matches;2024-05-18
161;Ganso;br BRA;MF;Fluminense;34-220;1989;4.0;2;2;0;2;0;1;5;20.0;4;5;0;5;2;4;1;0;Matches;2024-05-18
162;Luan Garcia;br BRA;DF;Palmeiras;31-009;1993;2.6;2;1;0;2;0;1;2;50.0;1;2;2;0;2;4;5;1;Matches;2024-05-18
163;Rodrigo Garro;ar ARG;MF;Corinthians;26-136;1998;5.7;4;4;0;3;1;3;12;25.0;9;7;1;6;7;11;1;0;Matches;2024-05-18
164;Pedro Geromel;br BRA;DF;Grêmio;38-241;1985;1.0;0;0;0;0;0;0;0;;0;1;1;0;0;0;8;0;Matches;2024-05-18
165;Gerson;br BRA;FW,MF;Flamengo;26-365;1997;3.0;7;6;3;2;2;3;5;60.0;2;2;0;2;0;7;2;0;Matches;2024-05-18
166;Gilberto;br BRA;FW;Juventude;34-349;1989;0.2;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matches;2024-05-18
167;Luciano Giménez;ar ARG;FW;Cuiabá;24-091;2000;0.6;0;0;0;0;0;0;1;0.0;1;0;0;0;0;0;0;0;Matches;2024-05-18
168;Giovane;br BRA;DF;Corinthians;20-177;2003;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matches;2024-05-18
169;Leonardo Godoy;ar ARG;DF;Ath Paranaense;29-021;1995;4.5;5;3;4;1;0;2;5;40.0;3;3;0;3;3;8;4;0;Matches;2024-05-18
