Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Curr_Date
56,Breno,br BRA,FW,Fortaleza,28-115,1996,2.1,74,0,11,38,28,7,74,14,8,57.1,4,28.6,38,372,179,7,3,5,5,4,55,12,Matches,2024-05-18
57,Breno,br BRA,MF,Corinthians,19-088,2005,2.9,138,4,21,93,24,2,138,3,1,33.3,2,66.7,74,317,144,1,1,0,3,1,90,6,Matches,2024-05-18
58,Emanuel Brítez,ar ARG,DF,Fortaleza,32-053,1992,4.0,148,23,79,64,5,3,148,1,1,100.0,0,0.0,52,387,209,1,0,0,0,3,58,0,Matches,2024-05-18
59,Bruninho,br BRA,"FW,MF",Red Bull Bragantino,21-065,2003,0.9,39,0,4,19,17,2,39,2,1,50.0,1,50.0,21,86,30,0,2,0,1,1,28,7,Matches,2024-05-18
60,Fabrício Bruno,br BRA,DF,Flamengo,28-096,1996,5.0,351,49,186,159,8,6,351,1,1,100.0,0,0.0,194,831,391,0,0,0,2,0,248,0,Matches,2024-05-18
61,Fabricio Bustos,ar ARG,"DF,MF",Internacional,28-020,1996,3.2,241,9,52,99,91,3,241,2,2,100.0,0,0.0,130,512,174,2,6,1,8,1,156,23,Matches,2024-05-18
62,Rafael Cabral,br BRA,GK,Grêmio,33-364,1990,1.0,23,20,23,0,0,0,23,0,0,,0,,11,89,65,0,0,0,0,0,6,0,Matches,2024-05-18
63,Cacá,br BRA,DF,Corinthians,25-023,1999,2.8,166,26,91,69,7,4,166,2,1,50.0,0,0.0,101,427,209,1,0,0,0,2,119,0,Matches,2024-05-18
64,Jonathan Cafu,br BRA,"MF,FW",Cuiabá,32-313,1991,1.1,45,1,6,22,21,5,45,7,3,42.9,4,57.1,30,202,111,3,4,0,5,4,34,9,Matches,2024-05-18
65,Jonathan Calleri,ar ARG,FW,São Paulo,30-238,1993,4.4,115,5,10,50,55,21,115,2,2,100.0,0,0.0,55,202,53,2,2,1,7,9,93,20,Matches,2024-05-18
66,Patric Calmon PK,br BRA,DF,Vitória,29-318,1994,1.5,93,8,28,40,27,4,93,5,2,40.0,3,60.0,46,230,109,4,0,3,2,0,44,12,Matches,2024-05-18
67,Camutanga,br BRA,DF,Vitória,30-234,1993,2.0,100,19,52,46,2,0,100,0,0,,0,,47,200,112,0,0,0,0,0,50,0,Matches,2024-05-18
68,Yerson Candelo,co COL,DF,Criciúma,32-084,1992,0.3,28,0,14,7,7,0,28,0,0,,0,,14,25,9,0,1,0,0,0,13,3,Matches,2024-05-18
69,Luan Cândido,br BRA,DF,Red Bull Bragantino,23-106,2001,6.0,290,46,107,143,43,9,290,2,0,0.0,2,100.0,101,469,202,1,2,0,7,0,116,6,Matches,2024-05-18
70,Germán Cano,ar ARG,"FW,MF",Fluminense,36-106,1988,4.6,129,10,28,60,45,16,129,8,2,25.0,4,50.0,54,275,84,1,2,1,7,2,79,9,Matches,2024-05-18
71,Agustín Canobbio,uy URU,"FW,MF",Ath Paranaense,25-230,1998,3.3,135,0,7,58,72,12,135,6,1,16.7,2,33.3,85,516,250,11,5,3,13,6,89,26,Matches,2024-05-18
72,Juninho Capixaba,br BRA,"DF,MF",Red Bull Bragantino,26-317,1997,3.8,219,18,61,112,48,9,219,4,1,25.0,3,75.0,89,469,227,2,5,0,2,4,91,5,Matches,2024-05-18
73,Carlinhos,br BRA,"FW,DF",Flamengo,27-096,1997,0.7,18,1,2,8,8,3,18,0,0,,0,,4,16,0,0,0,0,2,1,11,2,Matches,2024-05-18
74,Antonio Carlos,br BRA,DF,Fluminense,31-072,1993,1.5,98,21,52,46,1,1,98,1,1,100.0,0,0.0,43,245,112,0,0,0,1,0,62,0,Matches,2024-05-18
75,Jean Carlos Vicente,br BRA,"FW,MF",Juventude,32-093,1992,2.3,114,0,11,64,39,3,114,1,1,100.0,0,0.0,56,364,125,6,2,1,4,1,75,8,Matches,2024-05-18
76,Cássio,br BRA,GK,Corinthians,36-347,1987,3.0,91,75,91,0,0,0,91,0,0,,0,,51,289,187,0,0,0,0,0,36,0,Matches,2024-05-18
77,Iury de Castilho,br BRA,"FW,MF",Vitória,28-255,1995,0.8,38,2,6,12,22,4,38,7,4,57.1,3,42.9,28,211,133,5,5,0,0,3,32,8,Matches,2024-05-18
78,Murilo Cerqueira,br BRA,DF,Palmeiras,27-052,1997,4.8,261,26,117,134,12,6,261,1,1,100.0,0,0.0,140,698,317,4,2,0,2,2,165,1,Matches,2024-05-18
79,Reynaldo Cesar Moraes,br BRA,DF,Vitória,27-136,1997,1.9,78,13,56,23,0,0,78,0,0,,0,,36,203,105,1,0,0,0,0,44,0,Matches,2024-05-18
80,Christian,br BRA,"FW,MF",Ath Paranaense,23-151,2000,1.2,61,0,7,32,23,2,61,4,2,50.0,1,25.0,30,123,21,0,1,0,4,0,40,5,Matches,2024-05-18
81,Eliel Chrystian,br BRA,MF,Cuiabá,21-113,2003,0.5,11,0,0,6,5,2,11,1,0,0.0,0,0.0,7,49,37,1,0,0,2,1,12,1,Matches,2024-05-18
82,Cicinho,bg BUL,MF,Bahia,35-144,1988,0.0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,2024-05-18
83,José Cifuentes,ec ECU,MF,Cruzeiro,25-067,1999,0.8,50,2,8,25,18,0,50,0,0,,0,,32,122,58,2,4,0,3,0,34,8,Matches,2024-05-18
84,Claudinho,br BRA,DF,Criciúma,23-237,2000,2.7,190,14,71,77,43,2,190,4,2,50.0,2,50.0,97,430,184,4,4,0,4,2,112,9,Matches,2024-05-18
85,Clayson,br BRA,MF,Cuiabá,29-060,1995,2.0,65,0,10,35,22,1,65,5,0,0.0,3,60.0,40,233,53,1,2,0,7,3,47,10,Matches,2024-05-18
86,Clayton,br BRA,FW,Vasco da Gama,25-128,1999,0.6,27,2,3,5,20,10,27,0,0,,0,,10,28,10,1,0,1,1,4,17,5,Matches,2024-05-18
87,Mateus Cocão,br BRA,MF,Vasco da Gama,22-061,2002,3.2,235,4,44,146,50,7,235,7,6,85.7,1,14.3,127,477,165,3,5,0,3,8,167,6,Matches,2024-05-18
88,Igor Coronado,br BRA,"MF,FW",Corinthians,31-274,1992,2.0,129,3,16,67,47,5,129,7,4,57.1,3,42.9,78,443,244,8,9,0,8,4,98,10,Matches,2024-05-18
89,Diego Costa,es ESP,FW,Grêmio,35-224,1988,1.3,38,2,3,18,18,6,38,3,0,0.0,3,100.0,21,117,41,1,1,0,2,6,25,6,Matches,2024-05-18
90,Douglas Costa,br BRA,FW,Fluminense,33-247,1990,1.8,132,1,12,50,74,5,132,17,12,70.6,5,29.4,80,625,287,7,8,3,1,4,93,16,Matches,2024-05-18
91,Franco Cristaldo,ar ARG,MF,Grêmio,27-277,1996,3.1,187,2,11,90,87,4,187,2,0,0.0,2,100.0,90,476,254,5,4,0,6,2,137,15,Matches,2024-05-18
