Rk;Player;Nation;Pos;Squad;Age;Born;90s;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;GCA_PassLive;GCA_PassDead;GCA_TO;GCA_Sh;GCA_Fld;GCA_Def;Matches;Curr_Date
115;Eliédson;br BRA;MF;Criciúma;21-062;2003;0.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
116;Rodrigo Ely;br BRA;DF;Grêmio;30-197;1993;3.0;1;0.33;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
117;Alan Empereur;br BRA;DF;Cuiabá;30-069;1994;2.9;2;0.69;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
118;Endrick;br BRA;FW,MF;Palmeiras;17-302;2006;5.0;17;3.38;8;0;1;3;4;1;1;0.20;1;0;0;0;0;0;Matches;2024-05-18
119;Erick;br BRA;MF;Ath Paranaense;26-186;1997;5.9;11;1.86;10;0;0;0;1;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
120;Erick;br BRA;DF,MF;São Paulo;26-160;1997;1.4;10;7.20;8;2;0;0;0;0;2;1.44;2;0;0;0;0;0;Matches;2024-05-18
121;Erick;br BRA;FW;Juventude;27-136;1997;3.1;5;1.63;5;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
122;Lucas Esquivel;ar ARG;DF;Ath Paranaense;22-217;2001;5.7;16;2.79;12;1;1;0;2;0;4;0.70;2;0;0;0;2;0;Matches;2024-05-18
123;Estevão;br BRA;FW,DF;Palmeiras;18-024;2006;2.8;13;4.62;4;2;4;1;2;0;2;0.71;0;0;1;0;1;0;Matches;2024-05-18
124;Lucas Esteves;br BRA;DF;Vitória;23-329;2000;3.4;9;2.61;6;1;0;1;1;0;1;0.29;0;0;0;1;0;0;Matches;2024-05-18
125;Oscar Estupiñan;co COL;FW;Bahia;27-141;1996;0.6;2;3.33;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
126;Lucas Evangelista;br BRA;MF;Red Bull Bragantino;29-012;1995;0.8;3;3.70;2;1;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
127;Éverson;br BRA;GK;Atlético Mineiro;33-301;1990;5.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
128;Everton;br BRA;FW;Grêmio;27-062;1997;0.4;1;2.37;0;0;0;0;1;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
129;Bruno Fabiano Alves;br BRA;DF;Cuiabá;33-032;1991;2.2;1;0.45;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
130;Fabinho;br BRA;MF;Palmeiras;22-039;2002;0.4;1;2.65;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
131;Fábio;br BRA;GK;Fluminense;43-231;1980;6.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
132;Fábio;br BRA;DF;Grêmio;33-314;1990;2.3;5;2.20;4;1;0;0;0;0;1;0.44;0;1;0;0;0;0;Matches;2024-05-18
133;Fagner;br BRA;DF,MF;Corinthians;34-342;1989;4.3;10;2.34;7;3;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
134;Rodrigo Fagundes;br BRA;DF;Criciúma;37-069;1987;3.0;2;0.67;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
135;Luiz Felipe;br BRA;DF,MF;Atl Goianiense;30-252;1993;2.1;3;1.45;2;0;0;0;1;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
136;Marcos Felipe;br BRA;GK;Bahia;28-035;1996;6.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
137;Lucas Fernandes;br BRA;MF;Cuiabá;26-241;1997;1.5;5;3.26;3;2;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
