Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_2,Att_2,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Curr_Date
53,Pedro Borges,br BRA,MF,Fortaleza,27-076,1997,2.4,17,12,7,10,0,5,6,83.3,1,3,0,3,4,21,4,0,Matches,18-05-2024
54,Rafael Borré,co COL,FW,Internacional,28-246,1995,4.0,4,4,1,2,1,1,4,25.0,3,2,0,2,0,4,4,0,Matches,18-05-2024
55,Danilo Boza,br BRA,DF,Juventude,26-012,1998,3.0,3,1,2,1,0,0,0,,0,5,3,2,2,5,10,0,Matches,18-05-2024
56,Breno,br BRA,FW,Fortaleza,28-115,1996,2.1,2,0,1,1,0,1,2,50.0,1,2,0,2,0,2,0,0,Matches,18-05-2024
57,Breno,br BRA,MF,Corinthians,19-088,2005,2.9,1,0,0,0,1,0,3,0.0,3,8,1,7,4,5,1,0,Matches,18-05-2024
58,Emanuel Brítez,ar ARG,DF,Fortaleza,32-053,1992,4.0,14,7,13,1,0,9,12,75.0,3,4,4,0,3,17,16,0,Matches,18-05-2024
59,Bruninho,br BRA,"FW,MF",Red Bull Bragantino,21-065,2003,0.9,1,0,0,0,1,1,3,33.3,2,0,0,0,0,1,1,0,Matches,18-05-2024
60,Fabrício Bruno,br BRA,DF,Flamengo,28-096,1996,5.0,7,5,5,2,0,4,4,100.0,0,7,6,1,2,9,21,0,Matches,18-05-2024
61,Fabricio Bustos,ar ARG,"DF,MF",Internacional,28-020,1996,3.2,11,7,3,6,2,5,6,83.3,1,1,0,1,3,14,6,0,Matches,18-05-2024
62,Rafael Cabral,br BRA,GK,Grêmio,33-364,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,18-05-2024
63,Cacá,br BRA,DF,Corinthians,25-023,1999,2.8,1,1,1,0,0,1,3,33.3,2,9,7,2,0,1,15,1,Matches,18-05-2024
64,Jonathan Cafu,br BRA,"MF,FW",Cuiabá,32-313,1991,1.1,1,1,1,0,0,0,3,0.0,3,1,0,1,2,3,1,0,Matches,18-05-2024
65,Jonathan Calleri,ar ARG,FW,São Paulo,30-238,1993,4.4,2,1,0,2,0,0,3,0.0,3,1,0,1,1,3,6,0,Matches,18-05-2024
66,Patric Calmon PK,br BRA,DF,Vitória,29-318,1994,1.5,2,1,1,1,0,0,1,0.0,1,2,1,1,6,8,3,0,Matches,18-05-2024
67,Camutanga,br BRA,DF,Vitória,30-234,1993,2.0,7,4,6,0,1,3,5,60.0,2,4,4,0,0,7,12,0,Matches,18-05-2024
68,Yerson Candelo,co COL,DF,Criciúma,32-084,1992,0.3,3,1,1,2,0,0,0,,0,0,0,0,1,4,0,0,Matches,18-05-2024
69,Luan Cândido,br BRA,DF,Red Bull Bragantino,23-106,2001,6.0,18,12,9,8,1,7,10,70.0,3,9,7,2,6,24,35,0,Matches,18-05-2024
70,Germán Cano,ar ARG,"FW,MF",Fluminense,36-106,1988,4.6,2,1,1,1,0,1,1,100.0,0,1,1,0,1,3,5,1,Matches,18-05-2024
71,Agustín Canobbio,uy URU,"FW,MF",Ath Paranaense,25-230,1998,3.3,4,4,0,4,0,0,3,0.0,3,5,0,5,0,4,0,0,Matches,18-05-2024
72,Juninho Capixaba,br BRA,"DF,MF",Red Bull Bragantino,26-317,1997,3.8,12,5,5,6,1,6,11,54.5,5,5,0,5,6,18,11,0,Matches,18-05-2024
73,Carlinhos,br BRA,"FW,DF",Flamengo,27-096,1997,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,18-05-2024
74,Antonio Carlos,br BRA,DF,Fluminense,31-072,1993,1.5,1,1,0,1,0,0,1,0.0,1,5,4,1,1,2,7,1,Matches,18-05-2024
75,Jean Carlos Vicente,br BRA,"FW,MF",Juventude,32-093,1992,2.3,3,2,0,3,0,1,3,33.3,2,4,0,4,2,5,0,0,Matches,18-05-2024
76,Cássio,br BRA,GK,Corinthians,36-347,1987,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches,18-05-2024
77,Iury de Castilho,br BRA,"FW,MF",Vitória,28-255,1995,0.8,1,0,1,0,0,0,0,,0,1,0,1,0,1,2,0,Matches,18-05-2024
78,Murilo Cerqueira,br BRA,DF,Palmeiras,27-052,1997,4.8,10,6,4,6,0,3,7,42.9,4,6,3,3,8,18,13,0,Matches,18-05-2024
79,Reynaldo Cesar Moraes,br BRA,DF,Vitória,27-136,1997,1.9,2,2,1,1,0,0,1,0.0,1,5,3,2,0,2,10,0,Matches,18-05-2024
80,Christian,br BRA,"FW,MF",Ath Paranaense,23-151,2000,1.2,3,1,1,1,1,1,1,100.0,0,3,1,2,0,3,1,0,Matches,18-05-2024
81,Eliel Chrystian,br BRA,MF,Cuiabá,21-113,2003,0.5,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,Matches,18-05-2024
82,Cicinho,bg BUL,MF,Bahia,35-144,1988,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,18-05-2024
83,José Cifuentes,ec ECU,MF,Cruzeiro,25-067,1999,0.8,3,2,0,2,1,2,3,66.7,1,0,0,0,0,3,3,0,Matches,18-05-2024
84,Claudinho,br BRA,DF,Criciúma,23-237,2000,2.7,7,3,6,0,1,6,12,50.0,6,4,0,4,6,13,10,0,Matches,18-05-2024
85,Clayson,br BRA,MF,Cuiabá,29-060,1995,2.0,1,0,1,0,0,0,3,0.0,3,1,0,1,0,1,0,0,Matches,18-05-2024
