Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_2,Matches,Curr_Date
84,Patric Calmon PK,br BRA,DF,Vitória,29-318,1994,2,135,68,30.0,1.5,2,68,1,0,,1,0.00,1,3,-2,-1.33,-0.19,1.7,3.2,-1.5,-0.98,-0.30,Matches,18-05-2024
85,Camutanga,br BRA,DF,Vitória,30-234,1993,2,179,90,39.8,2.0,2,90,1,0,,0,0.00,1,3,-2,-1.01,+0.32,2.9,2.3,+0.5,+0.28,+1.74,Matches,18-05-2024
86,Yerson Candelo,co COL,DF,Criciúma,32-084,1992,2,28,14,10.4,0.3,0,,0,2,14,1,2.00,0,0,0,0.00,-1.49,0.4,0.4,0.0,-0.04,+0.33,Matches,18-05-2024
87,Luan Cândido,br BRA,DF,Red Bull Bragantino,23-106,2001,6,540,90,100.0,6.0,6,90,6,0,,0,1.50,7,6,+1,+0.17,,4.2,8.4,-4.2,-0.70,,Matches,18-05-2024
88,Germán Cano,ar ARG,"FW,MF",Fluminense,36-106,1988,5,410,82,75.9,4.6,5,82,0,0,,1,1.00,7,10,-3,-0.66,+0.03,5.3,5.8,-0.6,-0.13,+0.96,Matches,18-05-2024
89,Agustín Canobbio,uy URU,"FW,MF",Ath Paranaense,25-230,1998,5,297,59,55.0,3.3,4,67,1,1,30,0,2.40,5,2,+3,+0.91,-0.20,3.3,3.5,-0.2,-0.06,-0.47,Matches,18-05-2024
90,Juninho Capixaba,br BRA,"DF,MF",Red Bull Bragantino,26-317,1997,5,338,68,62.6,3.8,5,68,1,0,,1,1.80,6,3,+3,+0.80,+1.69,3.2,4.8,-1.6,-0.42,+0.75,Matches,18-05-2024
91,Felipe Carballo,uy URU,MF,Grêmio,27-227,1996,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,18-05-2024
92,Carlinhos,br BRA,"FW,DF",Flamengo,27-096,1997,2,59,30,10.9,0.7,1,45,0,1,14,4,2.00,1,0,+1,+1.53,+1.34,1.0,0.2,+0.8,+1.17,+1.11,Matches,18-05-2024
93,Antonio Carlos,br BRA,DF,Fluminense,31-072,1993,2,135,68,25.0,1.5,1,90,1,1,45,4,1.50,2,3,-1,-0.67,0.00,1.5,3.3,-1.8,-1.18,-1.10,Matches,18-05-2024
94,João Carlos,br BRA,FW,Criciúma,22-332,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,18-05-2024
95,Jean Carlos Vicente,br BRA,"FW,MF",Juventude,32-093,1992,3,204,68,56.7,2.3,3,68,1,0,,0,1.33,3,3,0,0.00,+1.15,2.1,3.2,-1.1,-0.50,+0.13,Matches,18-05-2024
96,Gabriel Carvalho,br BRA,MF,Internacional,16-275,2007,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,18-05-2024
97,Cássio,br BRA,GK,Corinthians,36-347,1987,3,270,90,50.0,3.0,3,90,3,0,,3,0.33,0,3,-3,-1.00,-1.33,2.6,2.3,+0.3,+0.10,-0.40,Matches,18-05-2024
98,Iury de Castilho,br BRA,"FW,MF",Vitória,28-255,1995,3,74,25,16.4,0.8,0,,0,3,25,0,0.33,1,0,+1,+1.22,+2.89,1.6,1.3,+0.3,+0.31,+1.30,Matches,18-05-2024
99,Murilo Cerqueira,br BRA,DF,Palmeiras,27-052,1997,5,436,87,80.7,4.8,5,87,4,0,,0,1.60,3,1,+2,+0.41,+2.14,5.2,3.9,+1.3,+0.26,-0.52,Matches,18-05-2024
100,Reynaldo Cesar Moraes,br BRA,DF,Vitória,27-136,1997,2,168,84,37.3,1.9,1,90,1,1,78,2,0.00,2,5,-3,-1.61,-0.65,1.9,4.6,-2.6,-1.42,-1.03,Matches,18-05-2024
101,Gabriel Chapecó,br BRA,GK,Cruzeiro,24-050,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,18-05-2024
